Date,Fish ID,Fish age,"Fork Length
 (mm)  ","Body 
Weight (g)",Fulton's condition factor,Sex,Stage ,Mean OD (n=10),Max OD,HEP,EDTA,"Brain 
(other) ","Brain 
(mid)",Pit,Liver weight (g),"HSI (%)
(approx energy reserves in liver)",-80,Gonad weight (g),No. Gonads weighed,GSI (%),Total Gonad Weight (g),(-80) DNA,(-80) RNA,Fixative,Ringers,Photo,FinClip,Histology comments,Comments ,Sample weight (mg),Unnamed: 31,E2 (ng/ml)
10/09/2019,1,1.568788501,215,199,2.002339417,M,M1,,,x,x,x,x,x,2.129,1.069849246,x,0.0025,1,0.003,0.005,x,x,x,x,x,x,PGmn oocytes present,1 gonad weight-not sure which one,,,0.178
10/09/2019,2,1.568788501,240,278.5,2.014612269,F,F1,,,x,x,x,x,x,3.5673,1.280897666,x,0.0617,2,0.022,0.062,x,x,x,x,x,x,,2 gonads weight-95% the right gonad,,,0.178
10/09/2019,3,1.568788501,245,310,2.107965219,F,F1,49.603,56.02,x,x,x,x,x,4.0184,1.296258065,x,0.0827,2,0.027,0.083,x,x,x,x,x,x,PGpn oocytes present,,,,
10/09/2019,4,1.568788501,250,269,1.7216,F,F1,,,x,x,x,x,x,3.2821,1.220111524,x,0.0342,2,0.013,0.034,x,x,x,x,x,x,,,,,0.178
10/09/2019,5,1.568788501,234,250.5,1.955060305,F,F1,37.148,43.24,x,x,x,x,x,3.3395,1.333133733,x,0.0535,2,0.021,0.054,x,x,x,x,x,x,,,,,0.178
10/09/2019,6,1.568788501,225,218.5,1.91824417,F,F1,34.879,41.77,x,x,x,x,x,2.8992,1.326864989,x,0.0742,2,0.034,0.074,x,x,x,NO,x,x,PGpn oocytes present,,,,0.178
10/09/2019,7,1.568788501,240,274,1.982060185,M,M1,,,x,x,x,x,x,3.483,1.271167883,x,0.0461,2,0.017,0.046,x,x,x,x,x,x,PGpn oocytes present,,,,0.178
10/09/2019,8,1.568788501,225,234.5,2.058710562,F,F1,,,x,x,x,x,x,2.995,1.277185501,x,0.0446,2,0.019,0.045,x,x,x,x,x,x,,very little tissue,,,0.178
10/09/2019,9,1.568788501,233,250,1.97638817,M,M1,,,x,x,x,x,x,3.0759,1.23036,x,0.0254,2,0.01,0.025,x,x,x,x,x,x,,,,,0.18
10/09/2019,10,1.568788501,230,219,1.799950686,F,F1,45.881,52.02,x,x,x,x,x,3.6328,1.658812785,x,0.0243,1,0.022,0.049,x,x,x,x,x,x,, 1 gonad right side (wrong),,,0.178
10/09/2019,11,1.568788501,228,236.5,1.995384545,F,F1,83.065,123.86,x,x,x,x,x,3.4103,1.441987315,x,0.0233,2,0.01,0.023,x,x,x,x,x,x,,Left gonad much bigger than right (photo),,,0.18
10/09/2019,12,1.568788501,235,239,1.841595793,F,F1,,,x,x,x,x,x,2.8415,1.188912134,x,0.0443,2,0.019,0.044,x,x,x,x,x,x,,,,,0.18
10/09/2019,13,1.568788501,241,220,1.571706876,F,F1,59.616,72.76,x,x,x,x,x,2.5654,1.166090909,x,0.0279,1,0.025,0.056,x,x,x,x,x,x,,1 gonad,,,0.178
10/09/2019,14,1.568788501,238,274.5,2.036158012,F,F1,35.564,40.54,x,x,x,x,x,3.882,1.41420765,x,0.0474,2,0.017,0.047,x,x,x,x,x,x,,,,,0.178
10/09/2019,15,1.568788501,223,272,2.45275582,M,M1,,,x,x,x,x,x,3.3696,1.238823529,x,0.0355,2,0.013,0.036,x,x,x,x,x,x,Possible CN oocytes present,,,,0.178
10/09/2019,16,1.568788501,246,322,2.162970271,F,F1,56.495,64.96,x,x,x,x,x,4.3399,1.347795031,x,0.1755,2,0.055,0.176,x,x,x,x,x,x,,,,,0.18
10/09/2019,17,1.568788501,248,273,1.789812779,M,M1,,,x,x,x,x,x,3.1517,1.154468864,x,0.0122,2,0.004,0.012,NO,x,x,NO,x,x,,Right gonad NO Ringer,,,0.179333333
10/09/2019,18,1.568788501,248,273.5,1.793090824,M,M1,,,x,x,x,x,x,3.5743,1.306873857,x,0.0712,2,0.026,0.071,x,x,x,x,x,x,,,,,0.18
10/09/2019,20,1.568788501,232,241,1.929981242,F,F1,82.682,99.44,x,x,x,x,x,3.723,1.544813278,x,0.0699,1,0.058,0.14,x,x,x,x,x,x,,,,,0.179333333
19/12/2019,21,1.84257358,239,288,2.10959353,F,F1,34.15,42.73,x,x,x,x,x,2.0999,0.729131944,x,0.068,2,0.024,0.07,x,x,x,x,x,x,,,,,0.179333333
19/12/2019,35,1.84257358,253,317.5,1.960569157,F,F1,88.946,98.97,x,x,x,x,x,1.857,0.585,x,0.248,2,0.07795,0.248,x,x,x,x,x,x,PGpn oocytes present,,,,0.179333333
19/12/2019,36,1.84257358,241,284,2.028930694,F,F1,69.344,79.14,x,x,x,x,x,2.045,0.72,x,0.209,2,0.07359,0.209,x,x,x,x,x,x,PGpn oocytes present,,,,0.1795
10/03/2020,51,2.067077344,268,379.5,1.971548196,F,F3,70.881,93.15,x,x,x,x,x,3.25,0.856,x,0.212,2,0.05586,0.212,x,x,x,x,x,x,,,,,0.179333333
10/03/2020,54,2.067077344,257,321,1.891061541,F,F1,91.841,116.44,x,x,x,x,x,2.29,0.713,x,0.226,2,0.07044,0.226,x,x,x,x,x,x,,,,,0.178
10/03/2020,55,2.067077344,250,345,2.208,F,F1,81.216,97.52,x,x,x,x,x,2.49,0.722,x,0.006,1,0.00371,0.013,x,x,x,x,x,x,PGpn oocytes present,,,,0.315452448
9/06/2020,65,2.316221766,307,700.5,2.420990098,F,F1,90.386,114.98,x,x,x,x,x,15.598,2.227,x,1.012,2,0.14451,1.012,x,x,x,x,x,x,PGpn oocytes present,"almost same size, right one slightly bigger",,,0.179
9/06/2020,66,2.316221766,300,647,2.396296296,F,F1,92.133,107.71,x,x,x,x,x,12.796,1.978,x,1.455,2,0.22495,1.455,x,x,x,x,x,x,,right one bigger,,,0.179333333
9/06/2020,61,2.316221766,295,582,2.267028275,F,F3,163.246,214.64,x,x,x,x,x,11.787,2.025,x,2.151,2,0.36964,2.151,x,x,x,x,x,x,PGca oocytes present,,,,0.202754174
9/06/2020,62,2.316221766,290,560,2.296117102,F,F3,197.274,275.76,x,x,x,x,x,10.576,1.889,x,2.144,2,0.38286,2.144,x,x,x,x,x,x,,,,,0.189373247
9/06/2020,72,2.316221766,298,558,2.108557296,F,F3,205.817,272.73,x,x,x,x,x,12.396,2.222,x,2.294,2,0.41111,2.294,x,x,x,x,x,x,PGca oocytes present,,,,0.190803521
14/07/2020,82,2.412046543,294,580.5,2.284337308,F,F3,190.908,258.18,x,x,x,x,x,7.79,1.342,x,1.79,2,0.30835,1.79,x,x,x,x,x,x,PGca oocytes present,,,,0.179333333
14/07/2020,88,2.412046543,305,582,2.051273014,F,F3,165.088,225.45,x,x,x,x,x,9.731,1.672,x,1.51,2,0.25948,1.51,x,x,x,x,x,x,PGca oocytes present,,,,0.179333333
14/07/2020,91,2.412046543,294,510,2.00691133,F,F3,173.453,207.27,x,x,x,x,x,9.617,1.886,x,1.736,2,0.34043,1.736,x,x,x,x,x,x,PGca oocytes present,,,,0.179333333
14/07/2020,97,2.412046543,297,507.5,1.937165379,F,F3,152.24,225.45,x,x,x,x,x,10.945,2.157,x,0.658,2,0.12966,0.658,x,x,x,x,x,x,,,,,0.185619303
9/06/2020,64,2.316221766,298,597,2.255929581,F,F3,290.183,338.19,x,x,x,x,x,14.829,2.484,x,1.53,2,0.25628,1.53,x,x,x,x,x,x,PGca oocytes present,left gonad larger than other,,,0.194717068
14/07/2020,83,2.412046543,286,515.5,2.20358887,F,F3,324.365,374.55,x,x,x,x,x,7.891,1.531,x,1.352,2,0.26227,1.352,x,x,x,x,x,x,PGca oocytes present,,,,0.179333333
25/08/2020,101,2.527036277,302,579,2.102121116,F,F3,294.181,356.36,x,x,x,x,x,9.22,1.592,x,3.84,2,0.663,3.84,x,x,x,x,x,x,,x1,,,0.221
25/08/2020,114,2.527036277,289,520.5,2.156389486,F,F4,324.543,365.45,x,x,x,x,x,9.312,1.789,x,3.54,2,0.68,3.54,x,x,x,x,x,x,,x2,,,0.275
25/08/2020,117,2.527036277,305,567.5,2.000167415,F,F3,305.452,338.18,x,x,x,x,x,10.962,1.932,x,2.11,2,0.372,2.11,x,x,x,x,x,x,PGca oocytes present,x2,,,0.209333333
25/08/2020,119,2.527036277,297,569.5,2.173824006,F,F3,290.907,352.72,x,x,x,x,x,8.846,1.553,x,3.74,2,0.657,3.74,x,x,x,x,x,x,PGca oocytes present,x2,,,0.248
6/10/2020,123,2.64202601,310,670.5,2.250679735,F,F4,342.91,378.18,x,x,x,x,x,6.17,0.92,x,4.484,2,0.66875,4.484,x,x,x,x,x,x,,,,,
6/10/2020,124,2.64202601,295,537.5,2.093690202,F,F4,341.634,374.54,x,x,x,x,x,6.81,1.267,x,3.259,2,0.60633,3.259,x,x,x,x,x,x,SGe oocytes present,,,,0.4817485
6/10/2020,122,2.64202601,293,547.5,2.176613219,F,F4,492.914,552.72,x,x,x,x,x,8.4,1.534,x,7.846,2,1.43306,7.846,x,x,x,x,x,x,SGl oocytes present,GUT (2),,,0.4045
6/10/2020,129,2.64202601,315,586,1.874847529,F,F4,426.185,480.01,x,x,x,x,x,6.78,1.157,x,3.582,2,0.61123,3.582,x,x,x,x,x,x,SGl oocytes present,GUT (4),,,0.456
6/10/2020,137,2.64202601,298,617.5,2.333394499,F,F4,451.998,509.1,x,x,x,x,x,11.15,1.806,x,9.445,2,1.52955,9.445,x,x,x,x,x,x,,,,,0.377
17/11/2020,156,2.757015743,290,500,2.050104555,F,F4,478.779,483.62,x,x,x,x,x,7.047,1.409,x,12.05,2,2.41,12.05,x,x,x,x,x,x,No oocytes in sample,no hydrated oocytes,,,0.522
17/11/2020,157,2.757015743,297,576,2.198634991,F,F4,370.174,516.36,x,x,x,x,x,5.423,0.941,x,6.79,2,1.17882,6.79,x,x,x,x,x,x,,no hydrated oocytes,,,0.18
22/12/2020,170,2.85284052,310,622,2.08787889,F,F4,393.808,487.26,x,x,x,x,x,7.38,1.186,x,7.811,2,1.25579,7.811,x,x,x,x,x,x,,,,,0.267
6/10/2020,134,2.64202601,295,614.5,2.393623496,F,F5,913.09,985.46,x,x,x,x,x,6.74,1.097,x,31.73,2,5.16355,31.73,x,x,x,x,x,x,"OMgvm oocytes present, maybe POC",,,,1.274
17/11/2020,142,2.757015743,295,576,2.243656849,F,F5,858.169,898.18,x,x,x,x,x,7.692,1.335,x,10.1,2,1.75347,10.1,x,x,x,x,x,x,"Hydrated oocytes present, maybe POC",contains hydrated oocytes,,,0.579
17/11/2020,154,2.757015743,319,785,2.418230016,F,F5,883.618,923.61,x,x,x,x,x,8.277,1.054,x,11.1,2,1.41401,11.1,x,x,x,x,x,x,"OMgvm oocytes present, maybe POC",hydrated oocytes,,,0.742
17/11/2020,158,2.757015743,287,556,2.351955505,F,F5,992.705,1025.43,x,x,x,x,x,7.419,1.334,x,13.7,2,2.46403,13.7,x,x,x,x,x,x,"OMgvm oocytes present, maybe POC",hydrated oocytes,,,0.624
17/11/2020,159,2.757015743,303,601,2.160461774,F,F5,923.991,992.72,x,x,x,x,x,6.675,1.111,x,16.8,2,2.79534,16.8,x,x,x,x,x,x,OMgvm oocytes present,"hydrated oocytes, very slimy",,,0.483
22/12/2020,173,2.85284052,321,721.5,2.181329327,F,F5,821.406,839.99,x,x,x,x,x,8.55,1.185,x,12.86,2,1.7824,12.86,x,x,x,x,x,x,"Hydrated oocytes present, maybe POC",hydrated oocytes,,,0.2
22/12/2020,176,2.85284052,330,593,1.650109915,F,F5,856.556,919.98,x,x,x,x,x,7.51,1.266,x,24.116,2,4.06678,24.116,x,x,x,x,x,x,"Hydrated oocytes present, maybe POC","hydrated oocytes, very slimy",,,0.591
22/12/2020,166,2.85284052,333,810,2.193574144,F,F2,105.292,152.72,x,x,x,x,x,7.27,0.898,x,2.73,2,0.33704,2.73,x,x,x,x,x,x,,,,,0.18
22/12/2020,167,2.85284052,326,920,2.655431038,F,F2,126.543,138.18,x,x,x,x,x,9.64,1.048,x,3.26,2,0.35435,3.26,x,x,x,x,x,x,PGca oocytes present,,,,0.18
22/12/2020,171,2.85284052,341,846,2.133571621,F,F2,92.444,138.88,x,x,x,x,x,8.95,1.058,x,2.99,2,0.35343,2.99,x,x,x,x,x,x,,,,,0.18
22/12/2020,172,2.85284052,329,741,2.080800838,F,F2,99.506,115.73,x,x,x,x,x,7.71,1.04,x,2.99,2,0.40351,2.99,x,x,x,x,x,x,PGca oocytes present,,,,0.18
9/02/2021,184,2.986995209,322,753.5,2.256917279,F,F3,113.002,136.76,x,x,x,x,x,6.999,0.929,x,4.339,2,0.57585,4.339,x,x,x,x,x,x,,,,,
9/02/2021,192,2.986995209,361,1037.5,2.205294019,F,F2,114.543,149.09,x,x,x,x,x,9.39,0.905,x,4.965,2,0.47855,4.965,x,x,x,x,x,x,,,,,
9/02/2021,193,2.986995209,331,914,2.520357888,F,F2,91.808,120.55,x,x,x,x,x,9.596,1.05,x,2.744,2,0.30022,2.744,x,x,x,x,x,x,,,,,
10/03/2020,45,2.067077344,302,518,1.880654125,M,M3,,,x,x,x,x,x,3.95,0.763,,0.279,2,0.05,0.279,x,x,x,,,,,,,,0.179333333
9/06/2020,69,2.316221766,301,551.5,2.022302087,M,M3,,,x,x,x,x,x,9.482,1.719,x,1.082,2,0.2,1.082,x,x,x,x,x,x,,,,,0.218834303
9/06/2020,70,2.316221766,303,632,2.271899902,M,M3,,,x,x,x,x,x,10.345,1.637,x,1.096,2,0.17,1.096,x,x,x,x,x,x,,left gonad is much larger,,,0.179333333
9/06/2020,71,2.316221766,290,483,1.980401,M,M3,,,x,x,x,x,x,7.046,1.459,x,1.127,2,0.23,1.127,x,x,x,x,x,x,,,,,0.179333333
9/06/2020,73,2.316221766,305,571.5,2.014265511,M,M3,,,x,x,x,x,x,9.561,1.673,x,1.691,2,0.3,1.691,x,x,x,x,x,x,,,,,0.179333333
9/06/2020,74,2.316221766,295,532.5,2.074214014,M,M3,,,x,x,x,x,x,10.368,1.947,x,1.358,2,0.26,1.358,x,x,x,x,x,x,,,,,
9/06/2020,79,2.316221766,292,499,2.004250457,M,M3,,,x,x,x,x,x,9.228,1.849298597,x,0.9933,2,0.2,0.99,x,x,x,x,x,x,,,,,0.179333333
14/07/2020,81,2.412046543,247,532.5,3.53369248,M,M3,,,x,x,x,x,x,7.715,1.449,x,2.843,2,0.53,2.843,x,x,x,x,x,x,,motile sperm in testis,,,0.179333333
14/07/2020,90,2.412046543,290,498,2.041904137,M,M3,,,x,x,x,x,x,8.966,1.8,x,0.369,2,0.07,0.369,x,x,x,x,x,x,,,,,0.179333333
6/10/2020,125,2.64202601,293,548.5,2.180588769,M,M3,,,x,x,x,x,x,5.16,0.941,x,1.052,2,0.19,1.052,x,x,x,x,x,x,,non-spermiating/ motile sperm,,,
6/10/2020,126,2.64202601,305,575.5,2.028363608,M,M3,,,x,x,x,x,x,5.03,0.874,x,0.789,2,0.14,0.789,x,x,x,x,x,x,,non-spermiating/ motile sperm,,,0.178
17/11/2020,148,2.757015743,300,551,2.040740741,M,M3,,,x,x,x,x,x,6.031,1.095,x,2.94,2,0.53,2.94,x,x,x,x,x,x,,non spermiating but motile,,,
17/11/2020,151,2.757015743,300,582,2.155555556,M,M3,,,x,x,x,x,x,4.474,0.769,x,0.57,2,0.1,0.57,x,x,x,x,x,x,,non spermiating but motile,,,0.178
22/12/2020,175,2.85284052,298,617,2.331505111,M,M2,,,x,x,x,x,x,5.68,0.921,x,1.17,2,0.19,1.17,x,x,x,x,x,x,,non-spermiating,,,0.18
9/02/2021,181,2.986995209,322,717,2.147590828,M,M2,,,x,x,x,x,x,7.429,1.036,x,1.421,2,0.2,1.421,x,x,x,x,x,x,,"NS - sperm in testis, very few motile sperm (slow moving)",,,0.18
9/02/2021,183,2.986995209,360,1017,2.179783951,M,M2,,,x,x,x,x,x,9.279,0.912,x,1.037,2,0.1,1.037,x,x,x,x,x,x,,NS - very few motile sperm in testis ,,,0.18
9/02/2021,191,2.986995209,357,978,2.149483949,M,M2,,,x,x,x,x,x,7.587,0.776,x,1.464,2,0.15,1.464,x,x,x,x,x,x,,NS - motile sperm in testis,,,0.178
9/02/2021,194,2.986995209,359,1027,2.219663282,M,M2,,,x,x,x,x,x,11.564,1.126,x,1.184,2,0.12,1.184,x,x,x,x,x,x,,NS - some motile sperm in testis,,,
9/02/2021,196,2.986995209,328,774,2.193408032,M,M2,,,x,x,x,x,x,8.137,1.051,x,1.192,2,0.15,1.192,x,x,x,x,x,x,,NS - some motile sperm in testis,,,
9/02/2021,197,2.986995209,337,837.5,2.188240809,M,M2,,,x,x,x,x,x,8.96,1.07,x,1.244,2,0.15,1.244,x,x,x,x,x,x,,NS - very few motile sperm in testis ,,,0.18
9/02/2021,199,2.986995209,343,812,2.012211696,M,M2,,,x,x,x,x,x,7.491,0.923,x,1.718,2,0.21,1.718,x,x,x,x,x,x,,NS - motile sperm in testis,,,0.18
14/07/2020,85,2.412046543,290,545,2.234613965,M,M3,,,x,x,x,x,x,10.822,1.986,x,3.567,2,0.65,3.567,x,x,x,x,x,x,,Spermiating,,,0.194717068
14/07/2020,89,2.412046543,275,418,2.009917355,M,M3,,,x,x,x,x,x,8.83,2.112,x,1.815,2,0.43,1.815,x,x,x,x,x,x,,Spermiating,,,0.179333333
14/07/2020,93,2.412046543,290,508.5,2.084956333,M,M3,,,x,x,x,x,x,8.907,1.752,x,1.867,2,0.37,1.867,x,x,x,x,x,x,,Spermiating,,,0.179333333
25/08/2020,109,2.527036277,309,619.5,2.099741696,M,M4,,,x,x,x,x,x,9.004,1.453,x,15.13,2,2.44,15.13,x,x,x,x,x,x,,spermiating,,,0.178
25/08/2020,110,2.527036277,301,549,2.013134806,M,M4,,,x,x,x,x,x,10.8,1.967,x,5.38,2,0.98,5.38,x,x,x,x,x,x,,spermiating,,,0.18
25/08/2020,111,2.527036277,291,580,2.353688723,M,M4,,,x,x,x,x,x,7.003,1.207,x,6.67,2,1.15,6.67,x,x,x,x,x,x,,spermiating,,,0.18
25/08/2020,116,2.527036277,270,319,1.620687903,M,M4,,,x,x,x,x,x,4.832,1.515,x,4.11,2,1.29,4.11,x,x,x,x,x,x,,spermiating,,,0.178
6/10/2020,131,2.64202601,306,588,2.05216864,M,M4,,,x,x,x,x,x,7.88,1.34,x,20.29,2,3.45,20.29,x,x,x,x,x,x,,spermiating,,,0.18
6/10/2020,135,2.64202601,310,602.5,2.022422879,M,M4,,,x,x,x,x,x,5.19,0.861,x,17.73,2,2.94,17.73,x,x,x,x,x,x,,spermiating,,,0.18
6/10/2020,139,2.64202601,292,579,2.325573175,M,M4,,,x,x,x,x,x,6.73,1.162,x,22.15,2,3.83,22.15,x,x,x,x,x,x,,spermiating,,,
6/10/2020,140,2.64202601,302,561,2.036770201,M,M4,,,x,x,x,x,x,7.71,1.374,x,18.642,2,3.32,18.642,x,x,x,x,x,x,,spermiating,,,0.18
17/11/2020,144,2.757015743,275,530,2.548459805,M,M4,,,x,x,x,x,x,5.014,0.946,x,20.94,2,3.95,20.94,x,x,x,x,x,x,,spermiating - motile,,,0.18
17/11/2020,146,2.757015743,303,597,2.14608266,M,M4,,,x,x,x,x,x,6.061,1.015,x,24.73,2,4.14,24.73,x,x,x,x,x,x,,spermiating - motile,,,0.207
17/11/2020,149,2.757015743,304,676,2.406167991,M,M4,,,x,x,x,x,x,7.251,1.073,x,16.45,2,2.43,16.45,x,x,x,x,x,x,,spermiating - motile,,,
17/11/2020,152,2.757015743,305,618,2.178155881,M,M4,,,x,x,x,x,x,6.788,1.098,x,23.62,2,3.82,23.62,x,x,x,x,x,x,,spermiating - motile,,,0.217
22/12/2020,161,2.85284052,311,663.5,2.205767635,M,M4,,,x,x,x,x,x,7.69,1.159,x,9.026,2,1.36,9.026,x,x,x,x,x,x,,spermiating,,,0.18
22/12/2020,165,2.85284052,303,645,2.31863202,M,M4,,,x,x,x,x,x,5.409,0.839,x,13.55,2,2.1,13.55,x,x,x,x,x,x,,spermiating,,,0.18
22/12/2020,169,2.85284052,311,680.5,2.262283159,M,M4,,,x,x,x,x,x,5.98,0.879,x,18.05,2,2.65,18.05,x,x,x,x,x,x,,spermiating,,,
22/12/2020,174,2.85284052,314,673.5,2.175447745,M,M4,,,x,x,x,x,x,5.24,0.778,x,6.82,2,1.01,6.82,x,x,x,x,x,x,,spermiating,,,
22/12/2020,177,2.85284052,329,782.5,2.197336918,M,M4,,,x,x,x,x,x,7.66,0.979,x,8.1,2,1.04,8.1,x,x,x,x,x,x,,spermiating,,,0.18
22/12/2020,179,2.85284052,338,904.5,2.342386036,M,M4,,,x,x,x,x,x,11.64,1.287,x,7.59,2,0.84,7.59,x,x,x,x,x,x,,spermiating,,,0.18
